sample,group,antibiotic,day,animal_no,location,host,experiment
d07ctrl031,Ctrl_7,Control,7,31,cecal_contents,turkey,Turkey_BMD
d07ctrl032,Ctrl_7,Control,7,32,cecal_contents,turkey,Turkey_BMD
d07ctrl033,Ctrl_7,Control,7,33,cecal_contents,turkey,Turkey_BMD
d07ctrl034,Ctrl_7,Control,7,34,cecal_contents,turkey,Turkey_BMD
d07ctrl035,Ctrl_7,Control,7,35,cecal_contents,turkey,Turkey_BMD
d07ctrl036,Ctrl_7,Control,7,36,cecal_contents,turkey,Turkey_BMD
d07ctrl037,Ctrl_7,Control,7,37,cecal_contents,turkey,Turkey_BMD
d07ctrl038,Ctrl_7,Control,7,38,cecal_contents,turkey,Turkey_BMD
d07ctrl039,Ctrl_7,Control,7,39,cecal_contents,turkey,Turkey_BMD
d07ctrl040,Ctrl_7,Control,7,40,cecal_contents,turkey,Turkey_BMD
d07sub041,Sub_7,Subtherapeutic,7,41,cecal_contents,turkey,Turkey_BMD
d07sub042,Sub_7,Subtherapeutic,7,42,cecal_contents,turkey,Turkey_BMD
d07sub043,Sub_7,Subtherapeutic,7,43,cecal_contents,turkey,Turkey_BMD
d07sub044,Sub_7,Subtherapeutic,7,44,cecal_contents,turkey,Turkey_BMD
d07sub045,Sub_7,Subtherapeutic,7,45,cecal_contents,turkey,Turkey_BMD
d07sub046,Sub_7,Subtherapeutic,7,46,cecal_contents,turkey,Turkey_BMD
d07sub047,Sub_7,Subtherapeutic,7,47,cecal_contents,turkey,Turkey_BMD
d07sub048,Sub_7,Subtherapeutic,7,48,cecal_contents,turkey,Turkey_BMD
d07sub049,Sub_7,Subtherapeutic,7,49,cecal_contents,turkey,Turkey_BMD
d07sub050,Sub_7,Subtherapeutic,7,50,cecal_contents,turkey,Turkey_BMD
d07ther051,Ther_7,Therapeutic,7,51,cecal_contents,turkey,Turkey_BMD
d07ther052,Ther_7,Therapeutic,7,52,cecal_contents,turkey,Turkey_BMD
d07ther053,Ther_7,Therapeutic,7,53,cecal_contents,turkey,Turkey_BMD
d07ther054,Ther_7,Therapeutic,7,54,cecal_contents,turkey,Turkey_BMD
d07ther055,Ther_7,Therapeutic,7,55,cecal_contents,turkey,Turkey_BMD
d07ther056,Ther_7,Therapeutic,7,56,cecal_contents,turkey,Turkey_BMD
d07ther057,Ther_7,Therapeutic,7,57,cecal_contents,turkey,Turkey_BMD
d07ther058,Ther_7,Therapeutic,7,58,cecal_contents,turkey,Turkey_BMD
d07ther059,Ther_7,Therapeutic,7,59,cecal_contents,turkey,Turkey_BMD
d07ther060,Ther_7,Therapeutic,7,60,cecal_contents,turkey,Turkey_BMD
d35ctrl091,Ctrl_35,Control,35,91,cecal_contents,turkey,Turkey_BMD
d35ctrl092,Ctrl_35,Control,35,92,cecal_contents,turkey,Turkey_BMD
d35ctrl093,Ctrl_35,Control,35,93,cecal_contents,turkey,Turkey_BMD
d35ctrl094,Ctrl_35,Control,35,94,cecal_contents,turkey,Turkey_BMD
d35ctrl095,Ctrl_35,Control,35,95,cecal_contents,turkey,Turkey_BMD
d35ctrl096,Ctrl_35,Control,35,96,cecal_contents,turkey,Turkey_BMD
d35ctrl097,Ctrl_35,Control,35,97,cecal_contents,turkey,Turkey_BMD
d35ctrl098,Ctrl_35,Control,35,98,cecal_contents,turkey,Turkey_BMD
d35ctrl099,Ctrl_35,Control,35,99,cecal_contents,turkey,Turkey_BMD
d35ctrl100,Ctrl_35,Control,35,100,cecal_contents,turkey,Turkey_BMD
d35sub101,Sub_35,Subtherapeutic,35,101,cecal_contents,turkey,Turkey_BMD
d35sub102,Sub_35,Subtherapeutic,35,102,cecal_contents,turkey,Turkey_BMD
d35sub103,Sub_35,Subtherapeutic,35,103,cecal_contents,turkey,Turkey_BMD
d35sub104,Sub_35,Subtherapeutic,35,104,cecal_contents,turkey,Turkey_BMD
d35sub105,Sub_35,Subtherapeutic,35,105,cecal_contents,turkey,Turkey_BMD
d35sub106,Sub_35,Subtherapeutic,35,106,cecal_contents,turkey,Turkey_BMD
d35sub107,Sub_35,Subtherapeutic,35,107,cecal_contents,turkey,Turkey_BMD
d35sub108,Sub_35,Subtherapeutic,35,108,cecal_contents,turkey,Turkey_BMD
d35sub109,Sub_35,Subtherapeutic,35,109,cecal_contents,turkey,Turkey_BMD
d35sub110,Sub_35,Subtherapeutic,35,110,cecal_contents,turkey,Turkey_BMD
d35ther111,Ther_35,Therapeutic,35,111,cecal_contents,turkey,Turkey_BMD
d35ther112,Ther_35,Therapeutic,35,112,cecal_contents,turkey,Turkey_BMD
d35ther113,Ther_35,Therapeutic,35,113,cecal_contents,turkey,Turkey_BMD
d35ther114,Ther_35,Therapeutic,35,114,cecal_contents,turkey,Turkey_BMD
d35ther115,Ther_35,Therapeutic,35,115,cecal_contents,turkey,Turkey_BMD
d35ther116,Ther_35,Therapeutic,35,116,cecal_contents,turkey,Turkey_BMD
d35ther117,Ther_35,Therapeutic,35,117,cecal_contents,turkey,Turkey_BMD
d35ther118,Ther_35,Therapeutic,35,118,cecal_contents,turkey,Turkey_BMD
d35ther119,Ther_35,Therapeutic,35,119,cecal_contents,turkey,Turkey_BMD
d35ther120,Ther_35,Therapeutic,35,120,cecal_contents,turkey,Turkey_BMD
d78ctrl181,Ctrl_78,Control,78,181,cecal_contents,turkey,Turkey_BMD
d78ctrl182,Ctrl_78,Control,78,182,cecal_contents,turkey,Turkey_BMD
d78ctrl183,Ctrl_78,Control,78,183,cecal_contents,turkey,Turkey_BMD
d78ctrl184,Ctrl_78,Control,78,184,cecal_contents,turkey,Turkey_BMD
d78ctrl185,Ctrl_78,Control,78,185,cecal_contents,turkey,Turkey_BMD
d78ctrl186,Ctrl_78,Control,78,186,cecal_contents,turkey,Turkey_BMD
d78ctrl187,Ctrl_78,Control,78,187,cecal_contents,turkey,Turkey_BMD
d78ctrl188,Ctrl_78,Control,78,188,cecal_contents,turkey,Turkey_BMD
d78ctrl189,Ctrl_78,Control,78,189,cecal_contents,turkey,Turkey_BMD
d78ex1sub,Sub_78,Subtherapeutic,78,1001,cecal_contents,turkey,Turkey_BMD
d78ex2sub,Sub_78,Subtherapeutic,78,1002,cecal_contents,turkey,Turkey_BMD
d78ex3sub,Sub_78,Subtherapeutic,78,1003,cecal_contents,turkey,Turkey_BMD
d78sub191,Sub_78,Subtherapeutic,78,191,cecal_contents,turkey,Turkey_BMD
d78sub192,Sub_78,Subtherapeutic,78,192,cecal_contents,turkey,Turkey_BMD
d78sub193,Sub_78,Subtherapeutic,78,193,cecal_contents,turkey,Turkey_BMD
d78sub194,Sub_78,Subtherapeutic,78,194,cecal_contents,turkey,Turkey_BMD
d78sub195,Sub_78,Subtherapeutic,78,195,cecal_contents,turkey,Turkey_BMD
d78sub196,Sub_78,Subtherapeutic,78,196,cecal_contents,turkey,Turkey_BMD
d78sub197,Sub_78,Subtherapeutic,78,197,cecal_contents,turkey,Turkey_BMD
d78sub198,Sub_78,Subtherapeutic,78,198,cecal_contents,turkey,Turkey_BMD
d78sub199,Sub_78,Subtherapeutic,78,199,cecal_contents,turkey,Turkey_BMD
d78sub200,Sub_78,Subtherapeutic,78,200,cecal_contents,turkey,Turkey_BMD
d78ther201,Ther_78,Therapeutic,78,201,cecal_contents,turkey,Turkey_BMD
d78ther202,Ther_78,Therapeutic,78,202,cecal_contents,turkey,Turkey_BMD
d78ther203,Ther_78,Therapeutic,78,203,cecal_contents,turkey,Turkey_BMD
d78ther204,Ther_78,Therapeutic,78,204,cecal_contents,turkey,Turkey_BMD
d78ther205,Ther_78,Therapeutic,78,205,cecal_contents,turkey,Turkey_BMD
d78ther206,Ther_78,Therapeutic,78,206,cecal_contents,turkey,Turkey_BMD
d78ther207,Ther_78,Therapeutic,78,207,cecal_contents,turkey,Turkey_BMD
d78ther208,Ther_78,Therapeutic,78,208,cecal_contents,turkey,Turkey_BMD
d78ther209,Ther_78,Therapeutic,78,209,cecal_contents,turkey,Turkey_BMD
d78ther210,Ther_78,Therapeutic,78,210,cecal_contents,turkey,Turkey_BMD